accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
2,1.5,1,3,1,3,52.35452979,4.910745142,1,13,2.845765015,1,0,0,1,0
2,1,1,1,2,1,52.37061686,4.929744727,2,18,2.266419483,1,0,1,0,0
2,1,1,2,1,2,52.38069662,4.889345219,1,59,0.704365624,0,1,0,1,0
4,1.5,2,45,2,47,52.34357258,4.896284702,2,9,3.963633925,0,1,1,0,0
2,1,0,1,2,1,52.3620848,4.874506349,1,28,2.544096086,1,0,1,0,0
6,1,3,1,4,1,52.31806164,4.943385659,1,40,7.419191759,1,0,1,0,0
3,1,1,1,2,1,52.36691544,4.939209811,3,24,3.023816213,1,0,1,0,0
2,1.5,1,1,1,1,52.36212926,4.851974216,1,5,3.7364691,1,0,1,0,0
4,2,2,1,1,1,52.35965184,4.889134565,5,0,2.280699855,0,1,1,0,0
4,1.5,3,1,1,1,52.38409975,4.884714897,7,0,1.137631858,0,1,1,0,0
3,1,0,1,2,1,52.36874382,4.881835625,2,24,1.665000323,0,1,0,1,0
2,1,0,1,1,1,52.36162945,4.888246787,2,115,2.093660287,0,1,1,0,0
2,1,1,1,2,1,52.33741711,4.895812371,1,14,4.648397975,0,1,0,1,0
3,1,1,1,1,1,52.37257014,4.846481802,1,483,3.666578372,0,1,0,1,0
2,1,1,1,2,1,52.36341149,4.863583531,2,18,2.998203014,1,0,1,0,0
4,1,2,1,3,1,52.37105565,4.860142213,4,16,2.814449918,1,0,1,0,0
4,1.5,2,1,1,1,52.35398487,4.90866539,3,4,2.870045692,1,0,1,0,0
2,1,1,1,1,1,52.36774152,4.86663086,2,1,2.563212262,1,0,1,0,0
3,1,1,1,2,1,52.34786528,4.861442827,1,13,4.331452834,1,0,1,0,0
2,1,0,1,1,1,52.38246476,4.874516709,5,15,1.728743877,1,0,1,0,0
4,1,2,1,1,1,52.39014203,4.88839267,2,11,1.428986189,1,0,1,0,0
2,1,1,1,1,1,52.36729531,4.854849161,2,12,3.300758593,1,0,1,0,0
4,1,1,1,1,1,52.32982793,4.885580732,1,2,5.565222954,0,1,1,0,0
2,1,1,2,1,2,52.34800737,4.869059319,3,4,4.031657659,1,0,0,1,0
2,1,1,2,2,2,52.35489069,4.81038155,1,7,6.61815407,1,0,0,1,0
2,1,1,1,1,1,52.34527122,4.863698255,5,0,4.481751168,1,0,1,0,0
2,1,1,1,1,1,52.37101445,4.869709449,2,4,2.211509867,1,0,1,0,0
2,1,1,28,1,28,52.37146917,4.852168703,2,0,3.319071645,0,1,1,0,0
2,1,1,1,1,1,52.37642614,4.87186158,6,37,1.89524795,0,1,0,1,0
4,1.5,2,2,2,2,52.38450149,4.888080121,2,10,0.970212989,1,0,1,0,0
6,2,2,25,4,27,52.3781202,4.878743993,2,17,1.408325411,0,1,1,0,0
